path,dir,file,export_default,export_named,imports_count,imported_by_count,reachable_from_entry,is_test_or_story,is_config_like,is_orphan
/vite.config.ts,,vite.config.ts,True,,0,0,False,False,True,False
/src/main.tsx,/src,main.tsx,False,,1,0,True,False,False,False
/src/App.tsx,/src,App.tsx,True,,4,1,True,False,False,False
/src/tailwind.config.js,/src,tailwind.config.js,True,,0,0,False,False,True,False
/src/postcss.config.js,/src,postcss.config.js,True,,0,0,False,False,True,False
/src/vite.config.ts,/src,vite.config.ts,True,,0,0,False,False,True,False
/src/.eslintrc.cjs,/src,.eslintrc.cjs,False,,0,0,False,False,False,True
/src/components/DashboardShell.tsx,/src/components,DashboardShell.tsx,False,DashboardShell,8,1,True,False,False,False
/src/components/KPICards.tsx,/src/components,KPICards.tsx,False,KPICards,2,0,False,False,False,True
/src/components/TodayOverview.tsx,/src/components,TodayOverview.tsx,False,TodayOverview,5,0,False,False,False,True
/src/components/RevenueChart.tsx,/src/components,RevenueChart.tsx,False,RevenueChart,2,0,False,False,False,True
/src/components/ProductsAndCustomers.tsx,/src/components,ProductsAndCustomers.tsx,False,ProductsAndCustomers,5,0,False,False,False,True
/src/components/OnboardingChecklist.tsx,/src/components,OnboardingChecklist.tsx,False,OnboardingChecklist,5,0,False,False,False,True
/src/components/ClassTemplateForm.tsx,/src/components,ClassTemplateForm.tsx,False,ClassTemplateForm,9,1,False,False,False,False
/src/components/ScheduleCalendar.tsx,/src/components,ScheduleCalendar.tsx,False,ScheduleCalendar,13,2,True,False,False,False
/src/components/ClassInstanceForm.tsx,/src/components,ClassInstanceForm.tsx,False,ClassInstanceForm,12,4,True,False,False,False
/src/components/ClassesManagement.tsx,/src/components,ClassesManagement.tsx,False,ClassesManagement,13,0,False,False,False,True
/src/components/BulkActionsDialog.tsx,/src/components,BulkActionsDialog.tsx,False,BulkActionsDialog,10,4,True,False,False,False
/src/components/LanguageProvider.tsx,/src/components,LanguageProvider.tsx,False,"useLanguage,LanguageProvider",0,35,True,False,False,False
/src/components/LanguageSwitcher.tsx,/src/components,LanguageSwitcher.tsx,True,LanguageSwitcher,0,0,False,False,False,True
/src/components/ClassDetailDialog.tsx,/src/components,ClassDetailDialog.tsx,False,ClassDetailDialog,12,4,True,False,False,False
/src/components/WaitlistManagerDialog.tsx,/src/components,WaitlistManagerDialog.tsx,False,WaitlistManagerDialog,11,3,True,False,False,False
